2026-06-23 16:12:22.687 | WARNING  | app.service.chat_service:process_chat:188 - 知识库检索失败: 百炼 Embedding 失败: Invalid API-key provided.
2026-06-23 16:14:43.338 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 414ccc4d8f2c43c4b63a75aea11209e8
2026-06-23 16:14:44.165 | WARNING  | app.service.chat_service:process_chat:188 - 知识库检索失败: 百炼 Embedding 失败: Invalid API-key provided.
2026-06-23 16:16:13.972 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 9d170302a2da48908c9534818e978448
2026-06-23 16:16:15.174 | WARNING  | app.service.chat_service:process_chat:188 - 知识库检索失败: 百炼 Embedding 失败: Invalid API-key provided.
2026-06-23 16:19:01.061 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 6fd2da38d6c1430a8f2b29947692e28a
2026-06-23 16:20:26.120 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: af0508846b9e493cb385e98def310828
2026-06-23 16:22:59.837 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 7f7e2b6cd02a4b70987317db5b31f2c9
2026-06-23 16:24:08.847 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 2ebc5bdb148b48b3a18c99bb5cfb9217
2026-06-23 16:29:12.869 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 34fe88892b61480ea1a104187fe5bfaa
2026-06-23 16:34:48.739 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 9b83d5b9b8d34c20840c00b6d0eae731
2026-06-23 16:37:39.823 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 55f6cdd8d69d4ddaabf236d823072e82
2026-06-23 16:38:55.041 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: c888b8c5f4034b3fbc4a6d88695731b5
2026-06-23 16:39:24.849 | INFO     | app.service.chat_service:get_or_create_session:40 - 创建新会话: 1f0a27155ef74c8aad2d6c04dc629ac9
